Defeat,791,Riven,Morgana,Rammus,Maokai,Jhin,Sona,Draven,Kayle,Bard,Cassiopeia
Defeat,1012,Lulu,Twisted Fate,Maokai,Kayn,Rengar,Vi,Darius,Kog'Maw,Ashe,Soraka
Defeat,835,Blitzcrank,Shyvana,Maokai,Galio,Ezreal,Sivir,Vi,Kassadin,Heimerdinger,Zilean
Defeat,990,Sona,Warwick,Master Yi,Teemo,Varus,Karthus,Xerath,Sivir,Twisted Fate,Nami
Defeat,959,Rengar,Cho'Gath,Amumu,Twisted Fate,Janna,Annie,Aatrox,Lux,Pyke,Gangplank
Victory,1317,Zed,Taliyah,Quinn,Aatrox,Fiddlesticks,Kai'Sa,Rammus,Nocturne,Varus,Ivern
Defeat,1526,Vel'Koz,Pantheon,Pyke,Zoe,Shen,Gangplank,Veigar,Malphite,Morgana,Nidalee
Defeat,1417,Katarina,Gragas,Miss Fortune,Caitlyn,Dr. Mundo,Lux,Jhin,Orianna,Nautilus,Sivir
Victory,1671,LeBlanc,Sona,Veigar,Shen,Ezreal,Ekko,Zoe,Zyra,Jax,Thresh
Victory,1129,Lucian,Nunu & Willump,Xin Zhao,Veigar,Miss Fortune,Orianna,Maokai,Jhin,Caitlyn,Twitch
Victory,1137,Pantheon,Vel'Koz,Lulu,Rengar,Galio,Tristana,Xerath,Cho'Gath,Draven,Lissandra
Defeat,1308,Lee Sin,Nasus,Fizz,Sion,Kha'Zix,Xayah,Corki,Gangplank,Heimerdinger,Karma
Victory,1053,Katarina,Maokai,Nasus,Xayah,Pyke,Akali,Caitlyn,Kai'Sa,Karma,Anivia
Victory,1139,Fiddlesticks,Kayn,Udyr,Nidalee,Cassiopeia,Viktor,Tristana,Swain,Blitzcrank,Twitch
Defeat,1119,Maokai,Draven,Kindred,Singed,Kai'Sa,Nami,Volibear,Ekko,Twisted Fate,Malphite
Victory,1107,Braum,Malphite,Taliyah,Ezreal,Sona,Xayah,Ekko,Jayce,Akali,Ashe
Victory,1444,Zed,Swain,Dr. Mundo,Gangplank,Tristana,Maokai,Karthus,Veigar,Twitch,Twisted Fate
Defeat,1442,Maokai,Blitzcrank,Garen,Gnar,Annie,Fiddlesticks,Zyra,Sivir,Orianna,Brand
Defeat,1163,Karthus,Mordekaiser,Fiddlesticks,Taric,Garen,Lissandra,Janna,Skarner,Kassadin,Swain
Victory,1393,Garen,Viktor,Maokai,Jinx,Cassiopeia,Gragas,Aatrox,Anivia,Karthus,Kalista
Defeat,804,Jayce,Ezreal,Master Yi,Evelynn,Singed,Veigar,Illaoi,Vel'Koz,Brand,Soraka
Defeat,1376,Lux,Warwick,Elise,Malzahar,Lee Sin,Pantheon,Tristana,Malphite,Yasuo,Lulu
Defeat,1299,Lee Sin,Kha'Zix,Shen,Renekton,Malzahar,Poppy,Teemo,Volibear,Hecarim,Varus
Defeat,1099,Syndra,Orianna,Kog'Maw,Kennen,Poppy,Irelia,Janna,Cassiopeia,Quinn,Twitch
Victory,1373,Lulu,Teemo,Amumu,Heimerdinger,Shaco,Evelynn,Galio,Garen,Camille,Zyra
Victory,1297,Hecarim,Volibear,Zilean,Cassiopeia,Udyr,Anivia,Pantheon,Fizz,Karma,Alistar
Victory,773,Tristana,Zilean,Nunu & Willump,Volibear,Sona,Rammus,Malphite,Ryze,Nidalee,Vayne
Victory,1296,Veigar,Volibear,Orianna,Olaf,Morgana,Nidalee,Karthus,Gragas,Anivia,Kennen
Victory,1197,Akali,Caitlyn,Zyra,Morgana,Garen,Galio,Hecarim,LeBlanc,Brand,Tristana
Defeat,1442,Garen,Jax,Lissandra,Jayce,Kha'Zix,Shyvana,Dr. Mundo,Brand,Nidalee,Ezreal
Defeat,1367,Brand,Jhin,Malzahar,Varus,Urgot,Sion,Corki,Blitzcrank,Ezreal,Pantheon
Defeat,763,Alistar,Darius,Caitlyn,Leona,Nami,Heimerdinger,Varus,Taliyah,Pyke,Aurelion Sol
