Defeat,1358,Xayah,Rakan,Leona,Azir,Rammus,Wukong,Blitzcrank,Viktor,Taric,Nidalee
Victory,1748,Zyra,Kai'Sa,Kayn,Ziggs,Camille,Ekko,Orianna,Caitlyn,Alistar,Teemo
Defeat,1217,Brand,Ornn,Ahri,Garen,Twisted Fate,Lucian,Kalista,Kennen,Katarina,Varus
Defeat,961,Ryze,Draven,Varus,Yasuo,Singed,Garen,Zyra,Maokai,Leona,Teemo
Victory,1287,Jhin,Janna,Shyvana,Vi,Garen,Twitch,Rammus,Nasus,Tristana,Ryze
Defeat,576,Twisted Fate,Janna,Karma,Syndra,Lulu,Kog'Maw,Kai'Sa,Master Yi,Volibear,Maokai
Victory,870,Fiddlesticks,Dr. Mundo,Malphite,Kai'Sa,Camille,Katarina,Teemo,Annie,Braum,Ziggs
Victory,1452,Sion,Dr. Mundo,Cho'Gath,Sivir,Twitch,Katarina,Pyke,Soraka,Caitlyn,Lux
Victory,1651,Malzahar,Xayah,Miss Fortune,Viktor,Kog'Maw,Ziggs,Anivia,Kassadin,Riven,Rengar
Victory,680,Sion,Blitzcrank,Xin Zhao,Jinx,Diana,Morgana,Janna,Bard,Xerath,Sejuani
Defeat,1222,Maokai,Draven,Kassadin,Corki,Volibear,Alistar,Wukong,Tristana,Kalista,Twitch
Defeat,905,Zyra,Lee Sin,Azir,Shaco,Graves,Fiddlesticks,Tristana,Sona,Zoe,Jinx
Defeat,2032,Pyke,Taric,Darius,Miss Fortune,Jayce,Nasus,Lux,Thresh,Malzahar,Akali
Defeat,1240,Ryze,Rakan,Zyra,Fiddlesticks,Soraka,Brand,Sion,Teemo,Graves,Yasuo
Defeat,1047,Graves,Cho'Gath,Vel'Koz,Jinx,Twitch,Caitlyn,Rengar,Morgana,Ezreal,Nautilus
Victory,1173,Graves,Corki,Lux,Malphite,Kayle,Miss Fortune,Orianna,Leona,Nami,Karthus
Defeat,928,Galio,Twitch,Trundle,Sona,Vi,Kog'Maw,Graves,Nidalee,Zilean,Jhin
Victory,914,Thresh,Ahri,Cassiopeia,Illaoi,Brand,Rengar,Shaco,Lucian,Shen,Vladimir
Defeat,1018,Cho'Gath,Mordekaiser,Cassiopeia,Kassadin,Riven,Zed,Anivia,Brand,Garen,Leona
Victory,1070,Braum,Jax,Master Yi,Ekko,Vel'Koz,Riven,Kha'Zix,Nami,Galio,Karthus
Defeat,1129,Aurelion Sol,Pantheon,Varus,Talon,Kayle,Janna,Tristana,Fiora,Ezreal,Nidalee
Defeat,1394,Ryze,Kha'Zix,Master Yi,Volibear,Warwick,Karthus,Rek'Sai,Jinx,Annie,Urgot
Victory,884,Viktor,Jinx,Karthus,Kayn,Sivir,Janna,Kassadin,Draven,Shyvana,Master Yi
Defeat,1190,Viktor,Lee Sin,Zilean,Ashe,Vel'Koz,Graves,Sona,Nautilus,Jinx,Jhin
Victory,952,Maokai,Heimerdinger,Darius,Annie,Riven,Cho'Gath,Diana,Lee Sin,Vi,Kalista
Victory,1080,Jinx,Urgot,Sona,Ashe,Zilean,Azir,Lulu,Braum,Rengar,Brand
Defeat,1413,Malphite,Vayne,Jinx,Swain,Lucian,Olaf,Jax,Aurelion Sol,LeBlanc,Teemo
Defeat,1416,Jax,Cho'Gath,Singed,Wukong,Soraka,Karma,Rumble,Braum,Heimerdinger,Xayah
Defeat,1513,Kog'Maw,Cassiopeia,Miss Fortune,Illaoi,Rammus,Lulu,Ashe,Teemo,Taliyah,Sivir
Victory,1169,Nautilus,Aurelion Sol,Caitlyn,Sona,Twitch,Yasuo,Zoe,Miss Fortune,Morgana,Talon
Defeat,1732,Darius,Katarina,Lulu,Sion,Twisted Fate,Lux,Jarvan IV,LeBlanc,Jhin,Ivern
Defeat,1309,Anivia,Diana,Poppy,Irelia,Kai'Sa,Gangplank,Rakan,Kennen,Camille,Amumu
Victory,1324,Alistar,Ashe,Fizz,Singed,Vel'Koz,Ryze,Gangplank,Soraka,Darius,Rumble
Victory,1815,Cho'Gath,Nunu & Willump,Varus,Annie,Heimerdinger,Ryze,Kassadin,Malzahar,Thresh,Lucian
Victory,999,Pyke,Kog'Maw,Gangplank,Taric,Shen,Kayle,Tahm Kench,Rengar,Kai'Sa,Nami
Victory,1121,Gragas,Tristana,Draven,Teemo,Heimerdinger,Nunu & Willump,Annie,Galio,Hecarim,Karthus
Defeat,836,Rammus,Draven,Kassadin,Diana,Twitch,Sejuani,Sivir,Ekko,Zed,Gangplank
Defeat,1609,Ornn,Singed,Lux,Zilean,Fiora,Ahri,Kayn,Draven,Darius,Katarina
Defeat,1048,Kalista,Cassiopeia,Syndra,Lucian,Nunu & Willump,Master Yi,Jhin,Caitlyn,Vi,Kayle
